iter	Passed	Remaining
0	154	154372
1	155	77639
2	156	52002
3	156	39090
4	158	31591
5	159	26475
6	161	22841
7	161	20043
8	162	17882
9	163	16172
10	164	14760
11	165	13585
12	167	12705
13	168	11893
14	169	11153
15	170	10495
16	172	9947
17	172	9432
18	173	8961
19	174	8542
20	175	8163
21	175	7809
22	176	7493
23	177	7199
24	177	6928
25	178	6688
26	179	6463
27	181	6296
28	182	6109
29	183	5929
30	183	5751
31	184	5588
32	185	5436
33	186	5297
34	187	5158
35	187	5033
36	188	4917
37	189	4801
38	190	4686
39	190	4578
40	191	4474
41	191	4376
42	192	4282
43	192	4192
44	193	4108
45	194	4029
46	195	3960
47	196	3898
48	197	3827
49	197	3758
50	198	3691
51	198	3627
52	199	3564
53	200	3504
54	200	3448
55	201	3397
56	202	3344
57	202	3293
58	203	3244
59	203	3195
60	204	3148
61	205	3102
62	205	3059
63	206	3017
64	206	2976
65	207	2935
66	208	2897
67	208	2859
68	209	2825
69	210	2796
70	211	2765
71	211	2732
72	212	2699
73	213	2666
74	213	2634
75	214	2604
76	214	2573
77	215	2543
78	215	2517
79	216	2490
80	217	2464
81	217	2439
82	218	2411
83	218	2387
84	219	2365
85	220	2341
86	220	2318
87	221	2294
88	221	2272
89	222	2249
90	223	2227
91	223	2206
92	224	2184
93	224	2168
94	225	2151
95	226	2134
96	227	2114
97	227	2095
98	228	2076
99	228	2058
100	229	2040
101	229	2022
102	230	2006
103	231	1990
104	231	1974
105	232	1958
106	232	1942
107	233	1928
108	234	1913
109	234	1898
110	235	1885
111	235	1870
112	236	1856
113	237	1842
114	237	1828
115	238	1815
116	238	1801
117	239	1787
118	240	1779
119	241	1770
120	242	1758
121	242	1745
122	243	1733
123	243	1721
124	244	1709
125	244	1698
126	245	1685
127	245	1675
128	246	1666
129	247	1655
130	247	1645
131	249	1638
132	249	1628
133	250	1618
134	251	1609
135	251	1599
136	252	1589
137	252	1579
138	253	1570
139	254	1560
140	255	1554
141	255	1546
142	256	1537
143	257	1529
144	257	1520
145	258	1512
146	259	1503
147	259	1495
148	260	1487
149	261	1480
150	262	1473
151	262	1466
152	263	1459
153	264	1452
154	264	1444
155	265	1437
156	266	1430
157	267	1422
158	267	1415
159	268	1408
160	268	1399
161	269	1392
162	270	1388
163	271	1383
164	272	1376
165	272	1369
166	273	1363
167	273	1356
168	274	1349
169	275	1343
170	275	1337
171	276	1331
172	277	1326
173	278	1320
174	279	1315
175	279	1309
176	280	1303
177	280	1297
178	281	1291
179	282	1285
180	282	1279
181	283	1273
182	284	1268
183	284	1263
184	285	1259
185	286	1254
186	287	1249
187	288	1244
188	288	1238
189	289	1233
190	289	1227
191	290	1222
192	291	1217
193	292	1213
194	292	1208
195	293	1203
196	294	1198
197	294	1193
198	295	1188
199	295	1183
200	296	1178
201	297	1173
202	297	1169
203	298	1164
204	299	1159
205	299	1154
206	300	1151
207	301	1148
208	302	1144
209	302	1139
210	303	1135
211	304	1130
212	304	1126
213	305	1122
214	306	1118
215	307	1115
216	308	1112
217	309	1109
218	310	1106
219	310	1102
220	311	1099
221	312	1095
222	313	1091
223	313	1087
224	314	1082
225	315	1079
226	316	1077
227	317	1073
228	317	1069
229	318	1065
230	318	1061
231	319	1058
232	320	1054
233	321	1051
234	321	1048
235	322	1044
236	323	1041
237	324	1037
238	324	1033
239	325	1029
240	325	1026
241	326	1022
242	327	1018
243	327	1015
244	328	1011
245	328	1007
246	329	1004
247	330	1001
248	331	999
249	332	996
250	332	992
251	333	989
252	333	985
253	334	982
254	335	979
255	335	976
256	337	974
257	337	971
258	338	968
259	339	965
260	339	962
261	340	958
262	340	955
263	341	952
264	342	948
265	342	945
266	343	942
267	343	939
268	344	935
269	344	932
270	346	930
271	347	928
272	347	926
273	348	923
274	349	920
275	349	917
276	350	914
277	351	912
278	351	909
279	352	906
280	353	903
281	353	901
282	354	898
283	355	895
284	355	892
285	356	889
286	356	886
287	357	884
288	358	881
289	358	878
290	359	875
291	360	873
292	360	870
293	361	869
294	362	866
295	363	864
296	364	861
297	364	859
298	365	856
299	366	854
300	366	851
301	367	849
302	368	846
303	368	844
304	369	841
305	370	839
306	370	837
307	371	835
308	372	832
309	373	830
310	373	827
311	374	825
312	374	822
313	375	820
314	376	819
315	377	817
316	378	815
317	379	813
318	379	810
319	380	808
320	380	805
321	381	803
322	382	801
323	382	798
324	383	796
325	384	794
326	384	792
327	385	790
328	386	787
329	386	785
330	387	783
331	387	780
332	388	778
333	389	776
334	389	773
