iter	Passed	Remaining
0	164	163908
1	166	82873
2	168	55847
3	170	42330
4	171	34201
5	173	28764
6	175	24852
7	177	21976
8	179	19714
9	180	17857
10	182	16372
11	183	15131
12	184	14017
13	186	13131
14	187	12307
15	188	11598
16	190	11023
17	192	10511
18	194	10023
19	195	9592
20	196	9176
21	197	8798
22	198	8450
23	199	8127
24	201	7840
25	202	7591
26	204	7360
27	205	7137
28	206	6924
29	207	6715
30	208	6519
31	209	6330
32	210	6158
33	211	5996
34	211	5840
35	212	5692
36	213	5554
37	214	5422
38	215	5300
39	215	5181
40	216	5075
41	218	4977
42	219	4876
43	220	4781
44	220	4689
45	222	4605
46	222	4520
47	223	4438
48	224	4358
49	225	4282
50	226	4209
51	227	4139
52	227	4070
53	228	4002
54	229	3938
55	230	3880
56	231	3831
57	232	3782
58	233	3729
59	234	3676
60	235	3625
61	236	3579
62	237	3530
63	238	3484
64	239	3440
65	240	3397
66	241	3357
67	241	3310
68	242	3270
69	243	3230
70	244	3194
71	245	3158
72	245	3122
73	246	3088
74	247	3053
75	248	3018
76	249	2984
77	249	2952
78	250	2922
79	251	2891
80	252	2861
81	252	2832
82	253	2802
83	254	2774
84	254	2743
85	255	2716
86	255	2686
87	256	2661
88	257	2637
89	258	2614
90	259	2591
91	260	2567
92	260	2543
93	261	2521
94	262	2499
95	263	2477
96	263	2455
97	264	2434
98	265	2413
99	266	2394
100	266	2374
101	267	2351
102	267	2332
103	268	2313
104	269	2296
105	270	2278
106	270	2260
107	271	2243
108	272	2227
109	273	2211
110	274	2197
111	275	2181
112	275	2165
113	276	2151
114	277	2136
115	278	2122
116	279	2108
117	280	2094
118	280	2079
119	281	2064
120	282	2050
121	283	2036
122	283	2021
123	284	2008
124	285	1995
125	285	1982
126	286	1972
127	287	1958
128	288	1947
129	289	1935
130	289	1923
131	290	1912
132	291	1902
133	292	1892
134	293	1882
135	294	1870
136	295	1859
137	295	1848
138	296	1837
139	297	1826
140	298	1816
141	298	1806
142	299	1797
143	300	1788
144	301	1778
145	302	1770
146	303	1760
147	304	1751
148	305	1742
149	306	1735
150	307	1727
151	308	1719
152	309	1711
153	309	1702
154	310	1692
155	311	1683
156	312	1675
157	312	1666
158	313	1658
159	314	1650
160	315	1642
161	316	1634
162	317	1628
163	317	1620
164	318	1613
165	319	1606
166	320	1599
167	321	1591
168	322	1584
169	323	1577
170	323	1570
171	324	1563
172	325	1557
173	326	1550
174	327	1543
175	328	1537
176	329	1530
177	329	1523
178	330	1517
179	332	1513
180	332	1505
181	334	1502
182	335	1497
183	336	1491
184	337	1485
185	338	1479
186	339	1473
187	339	1467
188	340	1461
189	341	1454
190	341	1448
191	342	1442
192	343	1435
193	344	1430
194	345	1424
195	345	1418
196	346	1413
197	347	1407
198	348	1401
199	348	1395
200	349	1391
201	350	1385
202	351	1379
203	352	1373
204	352	1367
205	353	1362
206	354	1357
207	355	1351
208	355	1346
209	356	1341
210	357	1335
211	357	1330
212	358	1325
213	359	1321
214	360	1316
215	361	1310
216	361	1305
217	362	1300
218	363	1295
219	364	1291
220	364	1286
221	365	1281
222	366	1276
223	367	1271
224	367	1266
225	368	1261
226	369	1257
227	369	1252
228	370	1247
229	371	1242
230	371	1238
231	372	1233
232	373	1229
233	374	1224
234	374	1220
235	375	1215
236	376	1211
237	377	1207
238	377	1203
239	378	1198
240	379	1194
241	380	1190
242	380	1185
243	381	1181
244	382	1177
245	382	1173
246	383	1169
247	384	1165
248	385	1161
249	385	1157
250	386	1153
251	387	1151
252	388	1148
253	389	1145
254	390	1142
255	391	1138
256	392	1134
257	393	1131
258	394	1127
259	394	1123
260	395	1120
261	396	1116
262	397	1113
263	397	1109
264	398	1105
265	399	1102
266	400	1099
267	401	1096
268	402	1092
269	402	1089
270	403	1086
271	404	1083
272	405	1080
273	406	1076
274	407	1073
275	408	1070
276	408	1067
277	409	1064
278	410	1061
279	411	1058
280	412	1055
281	413	1052
282	414	1049
283	415	1046
284	416	1043
285	417	1041
286	417	1038
287	418	1035
288	419	1032
289	420	1029
290	421	1027
291	422	1024
292	423	1021
293	424	1018
294	424	1015
295	425	1012
296	426	1010
297	427	1007
298	428	1004
299	429	1002
300	430	1000
301	431	998
302	432	995
303	433	992
304	434	990
305	435	987
306	436	984
307	437	981
308	437	979
309	438	976
310	439	973
311	440	971
312	441	968
313	442	965
314	443	963
315	444	961
316	445	959
317	446	956
318	446	953
319	447	951
320	448	948
321	449	946
322	450	943
323	451	941
324	451	938
325	452	935
326	453	933
327	454	931
328	455	928
329	456	925
330	456	923
331	457	921
332	458	919
333	460	917
334	461	915
335	462	913
336	463	911
337	463	908
338	464	906
339	465	903
340	466	901
341	467	898
342	468	896
343	468	894
344	469	891
345	470	889
346	471	886
347	472	884
348	473	882
349	474	881
350	475	879
351	476	877
352	477	875
353	478	873
354	479	871
355	480	869
356	481	867
357	482	865
358	483	863
359	484	860
360	485	859
361	486	857
362	487	855
363	488	853
364	489	852
365	490	850
366	491	847
367	492	845
368	493	843
369	494	841
370	495	839
371	495	837
372	496	834
373	497	832
374	498	830
375	499	829
376	500	827
377	501	825
378	502	822
379	503	820
380	504	819
381	504	816
382	505	814
383	506	812
384	507	810
385	508	808
386	509	806
387	510	804
388	510	802
389	511	800
390	512	798
391	514	797
392	515	795
393	515	793
394	516	791
395	517	789
396	518	787
397	519	785
398	520	783
399	521	781
400	522	780
401	523	778
402	524	776
403	525	774
404	525	772
405	526	770
406	528	769
407	529	767
408	530	766
409	531	764
410	532	762
411	533	761
412	534	759
413	535	758
414	536	756
415	537	754
416	538	753
417	539	751
418	541	750
419	542	749
420	543	748
421	545	746
422	546	745
423	547	743
424	548	742
425	549	741
426	551	739
427	552	738
428	553	736
429	554	734
430	555	732
431	556	731
432	556	729
433	557	727
434	558	725
435	559	724
436	560	722
437	561	720
438	562	718
439	563	716
440	564	715
441	565	713
442	566	712
443	567	711
444	575	717
445	576	715
446	578	716
447	580	715
448	581	713
449	583	713
450	585	712
451	586	710
452	587	709
453	588	707
454	589	706
455	590	704
456	591	703
457	593	701
458	594	700
459	595	699
460	596	697
461	597	696
462	599	694
463	600	693
464	602	693
465	603	691
466	604	690
467	605	688
468	607	687
469	609	686
470	611	686
471	612	685
472	614	684
473	615	682
474	616	680
475	617	679
476	618	677
477	619	675
478	619	674
479	620	672
480	621	670
481	622	669
482	623	667
483	624	666
484	626	664
485	627	664
486	628	662
487	629	660
488	630	659
489	631	657
490	632	655
491	633	654
492	634	652
493	635	650
494	636	648
495	636	647
496	637	645
497	638	643
498	639	642
499	640	640
500	641	639
501	642	637
502	643	636
503	644	634
504	645	632
505	646	630
506	647	629
507	648	627
508	649	626
509	650	624
510	650	622
511	651	621
512	653	619
513	654	618
514	655	616
515	656	615
516	657	614
517	658	612
518	659	611
519	660	609
520	661	607
521	662	606
522	662	604
523	663	602
524	664	601
525	665	599
526	666	598
527	667	596
528	668	595
529	669	593
530	670	592
531	671	590
532	672	589
533	673	587
534	673	585
535	674	584
536	675	582
537	676	580
538	677	579
539	677	577
540	678	575
541	679	574
542	680	572
543	681	571
544	682	569
545	682	567
546	683	566
547	684	564
548	685	563
549	686	562
550	687	560
551	688	559
552	689	557
553	690	555
554	691	554
555	692	553
556	694	552
557	695	550
558	695	548
559	696	547
560	697	545
561	698	544
562	699	542
563	700	541
564	701	539
565	701	538
566	702	536
567	703	535
568	704	533
569	705	531
570	705	530
571	706	528
572	707	527
573	708	525
574	709	524
575	710	523
576	711	521
577	712	520
578	713	518
579	714	517
580	715	516
581	716	514
582	717	513
583	718	511
584	719	510
585	720	508
586	721	507
587	722	506
588	723	505
589	725	503
590	726	502
591	727	501
592	727	499
593	728	498
594	729	496
595	730	495
596	731	493
597	732	492
598	733	490
599	733	489
600	734	487
601	735	486
602	736	484
603	737	483
604	738	481
605	738	480
606	739	478
607	740	477
608	741	475
609	742	474
610	742	472
611	743	471
612	744	470
613	745	468
614	746	467
615	747	465
616	747	464
617	748	462
618	749	461
619	750	459
620	751	458
621	752	457
622	753	455
623	754	454
624	754	452
625	755	451
626	756	449
627	757	448
628	757	447
629	758	445
630	759	444
631	760	442
632	761	441
633	761	439
634	762	438
635	763	437
636	764	435
637	765	434
638	766	432
639	766	431
640	767	429
641	768	428
642	769	427
643	770	425
644	771	424
645	771	422
646	772	421
647	773	420
648	774	418
649	775	417
650	775	415
651	776	414
652	777	413
653	778	411
654	779	410
655	780	409
656	780	407
657	781	406
658	782	404
659	783	403
660	784	402
661	784	400
662	785	399
663	786	398
664	787	396
665	788	395
666	789	393
667	789	392
668	790	391
669	791	389
670	792	388
671	793	387
672	794	386
673	795	384
674	796	383
675	797	382
676	798	380
677	799	379
678	799	378
679	800	376
680	801	375
681	802	373
682	802	372
683	803	371
684	804	369
685	805	368
686	806	367
687	806	365
688	808	364
689	808	363
690	809	362
691	810	360
692	811	359
693	812	358
694	812	356
695	813	355
696	814	354
697	815	352
698	816	351
699	817	350
700	817	348
701	818	347
702	819	346
703	820	344
704	821	343
705	821	342
706	822	341
707	823	339
708	824	338
709	825	337
710	826	335
711	826	334
712	827	333
713	828	331
714	829	330
715	830	329
716	831	328
717	831	326
718	832	325
719	833	324
720	834	322
721	835	321
722	836	320
723	836	319
724	837	317
725	838	316
726	839	315
727	840	313
728	840	312
729	841	311
730	842	310
731	843	308
732	844	307
733	844	306
734	845	304
735	846	303
736	847	302
737	848	301
738	849	299
739	850	298
740	851	297
741	852	296
742	853	295
743	853	293
744	854	292
745	855	291
746	856	290
747	857	288
748	857	287
749	858	286
750	859	284
751	860	283
752	861	282
753	861	281
754	862	279
755	863	278
756	864	277
757	865	276
758	866	275
759	867	273
760	868	272
761	869	271
762	870	270
763	871	269
764	871	267
765	872	266
766	873	265
767	874	264
768	875	262
769	875	261
770	876	260
771	877	259
772	878	257
773	879	256
774	880	255
775	880	254
776	881	253
777	882	251
778	883	250
779	884	249
780	885	248
781	885	246
782	886	245
783	887	244
784	888	243
785	889	242
786	889	240
787	890	239
788	891	238
789	892	237
790	893	236
791	894	234
792	895	233
793	896	232
794	897	231
795	897	230
796	898	228
797	899	227
798	900	226
799	901	225
800	902	224
801	902	222
802	903	221
803	904	220
804	905	219
805	906	218
806	906	216
807	908	215
808	908	214
809	909	213
810	910	212
811	911	211
812	912	209
813	913	208
814	914	207
815	914	206
816	915	205
817	916	203
818	917	202
819	918	201
820	918	200
821	919	199
822	920	198
823	921	196
824	922	195
825	923	194
826	924	193
827	924	192
828	925	190
829	926	189
830	927	188
831	928	187
832	929	186
833	930	185
834	930	183
835	931	182
836	932	181
837	933	180
838	934	179
839	935	178
840	936	176
841	936	175
842	937	174
843	938	173
844	939	172
845	940	171
846	941	170
847	942	168
848	942	167
849	943	166
850	944	165
851	945	164
852	946	163
853	947	161
854	947	160
855	948	159
856	949	158
857	951	157
858	952	156
859	953	155
860	954	154
861	955	152
862	956	151
863	957	150
864	958	149
865	959	148
866	960	147
867	961	146
868	962	145
869	963	144
870	964	142
871	965	141
872	966	140
873	967	139
874	968	138
875	969	137
876	970	136
877	971	134
878	972	133
879	973	132
880	973	131
881	974	130
882	975	129
883	976	128
884	977	127
885	978	125
886	979	124
887	980	123
888	981	122
889	982	121
890	983	120
891	983	119
892	984	117
893	985	116
894	986	115
895	987	114
896	987	113
897	988	112
898	989	111
899	990	110
900	991	108
901	992	107
902	993	106
903	993	105
904	994	104
905	995	103
906	996	102
907	997	101
908	998	99
909	998	98
910	999	97
911	1000	96
912	1001	95
913	1002	94
914	1002	93
915	1003	92
916	1004	90
917	1005	89
918	1006	88
919	1007	87
920	1007	86
921	1008	85
922	1009	84
923	1010	83
924	1011	81
925	1011	80
926	1012	79
927	1013	78
928	1014	77
929	1015	76
930	1015	75
931	1016	74
932	1017	73
933	1018	71
934	1019	70
935	1019	69
936	1020	68
937	1021	67
938	1022	66
939	1023	65
940	1024	64
941	1025	63
942	1026	62
943	1027	60
944	1028	59
945	1029	58
946	1030	57
947	1030	56
948	1031	55
949	1032	54
950	1033	53
951	1034	52
952	1035	51
953	1036	49
954	1037	48
955	1038	47
956	1039	46
957	1040	45
958	1041	44
959	1042	43
960	1043	42
961	1043	41
962	1044	40
963	1045	39
964	1046	37
965	1047	36
966	1048	35
967	1049	34
968	1049	33
969	1050	32
970	1051	31
971	1052	30
972	1053	29
973	1054	28
974	1055	27
975	1055	25
976	1056	24
977	1057	23
978	1058	22
979	1059	21
980	1059	20
981	1060	19
982	1061	18
983	1062	17
984	1063	16
985	1063	15
986	1064	14
987	1065	12
988	1066	11
989	1067	10
990	1068	9
991	1069	8
992	1070	7
993	1071	6
994	1072	5
995	1072	4
996	1073	3
997	1074	2
998	1075	1
999	1076	0
